# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
dao xian zai 	到現在	c=1 d=4.1614e-10 t=12980
dao zhi 	導致	c=3 d=2.52932e-08 t=12980
de 	得	c=47 d=2.69898 t=12980
de 	的	c=459 d=7.60134 t=12980
de dao 	得到	c=1 d=0.100761 t=12980
de dao li 	的道理	c=0 d=0.0722527 t=12980
de le 	得了	c=2 d=0.287941 t=12980
de ne ge 	的呢個	c=1 d=1.83312e-12 t=12980
de zui 	得罪	c=1 d=2.83816e-06 t=12980
de zui shei le 	得罪誰了	c=1 d=2.4916e-05 t=12980
deng 	等	c=16 d=0.680451 t=12980
deng deng 	等等	c=2 d=7.6191e-12 t=12980
deng hui er 	等會兒	c=1 d=0.00124328 t=12980
deng lu 	登錄	c=13 d=0.168608 t=12980
deng ni 	等你	c=1 d=0.00887071 t=12980
deng shang 	登上	c=1 d=4.4855e-10 t=12980
deng ta men 	等他們	c=1 d=1.53512e-13 t=12980
deng tong zhi 	等通知	c=1 d=0.000626727 t=12980
deng wo 	等我	c=1 d=0.316637 t=12980
deng zhe 	等着	c=2 d=2.05587e-08 t=12980
di 	低	c=4 d=0.0177743 t=12980
di 	地	c=18 d=1.43974 t=12980
di 	底	c=1 d=0.00195963 t=12980
di ceng 	底層	c=6 d=0.798808 t=12980
di er ge 	第二個	c=2 d=1.51149e-07 t=12980
di fang 	地方	c=3 d=0.00565622 t=12980
di ti 	敵體	c=0 d=0.000184551 t=12980
di ti ci 	敵體詞	c=1 d=0.00185476 t=12980
di yi 	第一	c=2 d=0.0497185 t=12980
di yi ci 	第一次	c=3 d=0.00186406 t=12980
di yi ge 	第一個	c=5 d=0.309921 t=12980
di yi hui 	第一回	c=1 d=0.40657 t=12980
di yi ju hua 	第一句話	c=1 d=0.241714 t=12980
di yi ren 	第一人	c=1 d=0.106992 t=12980
di zhi 	地址	c=13 d=1.55799 t=12980
di zhi duan 	地址斷	c=1 d=3.97761e-08 t=12980
dian 	店	c=1 d=0.00164502 t=12980
dian 	電	c=3 d=0.0285814 t=12980
dian 	點	c=7 d=0.722527 t=12980
dian fan bao 	電飯煲	c=1 d=0.0342181 t=12980
dian hua 	電話	c=2 d=2.99194e-08 t=12980
dian kou 	电口	c=1 d=7.63899e-09 t=12980
dian liang 	點亮	c=0 d=6.99601e-05 t=12980
dian liang le 	點亮了	c=1 d=0.000703108 t=12980
dian nao 	電腦	c=7 d=2.38126 t=12980
dian shi 	電視	c=2 d=4.01985e-05 t=12980
dian xin 	電信	c=2 d=0.850577 t=12980
dian yi xia 	點一下	c=1 d=3.69912e-07 t=12980
dian yuan xian 	電源線	c=1 d=0.0335406 t=12980
diao 	掉	c=3 d=0.451581 t=12980
diao du 	調度	c=4 d=1.45689e-05 t=12980
diao tou fa 	掉头发	c=1 d=3.56388e-10 t=12980
diao yong 	調用	c=2 d=0.172045 t=12980
die dai 	迭代	c=1 d=8.85082e-06 t=12980
ding 	定	c=2 d=7.54601e-05 t=12980
ding 	鼎	c=1 d=0.644036 t=12980
ding ding 	丁丁	c=1 d=7.16069e-13 t=12980
ding ding 	釘釘	c=10 d=0.00965866 t=12980
ding ji 	頂級	c=1 d=4.17075e-07 t=12980
ding jia 	定價	c=2 d=7.07631e-10 t=12980
ding le 	定了	c=1 d=3.75931e-06 t=12980
ding wei 	定位	c=4 d=1.68514 t=12980
ding xiang 	丁香	c=1 d=8.46713e-14 t=12980
ding xing 	定性	c=5 d=0.0629761 t=12980
ding xing le 	定性了	c=2 d=2.07113e-07 t=12980
ding yi 	定義	c=21 d=1.27431 t=12980
ding yue 	訂閱	c=2 d=4.00492e-09 t=12980
diu bao 	丟包	c=1 d=8.44096e-07 t=12980
diu qi 	丟棄	c=1 d=7.05168e-09 t=12980
diu shi 	丟失	c=3 d=7.12996e-10 t=12980
dock er 	Dock而	c=1 d=2.82431e-09 t=12980
dong 	冬	c=1 d=6.77518e-09 t=12980
dong 	動	c=1 d=0.00640933 t=12980
dong 	懂	c=1 d=0.0136366 t=12980
dong 	棟	c=2 d=0.574072 t=12980
dong bu dong 	動不動	c=1 d=0.0338776 t=12980
dong hua 	動畫	c=2 d=0.00204108 t=12980
dong jing 	動靜	c=1 d=0.000405658 t=12980
dong tai 	動態	c=4 d=0.000206738 t=12980
dong xi 	東西	c=9 d=1.53445 t=12980
dong yi 	動易	c=0 d=0.026982 t=12980
dong yi zhi qing 	動易之情	c=1 d=0.271173 t=12980
dong zhi yi qing 	动之以情	c=1 d=0.137381 t=12980
dou 	都	c=104 d=5.37697 t=12980
dou bei jie shou 	都被接受	c=1 d=2.06579e-06 t=12980
dou bu xing 	都不行	c=1 d=0.0278757 t=12980
dou dui 	都對	c=1 d=9.33029e-09 t=12980
dou en na ge 	都恩納個	c=1 d=5.82947e-05 t=12980
dou hao 	逗號	c=1 d=1.6371e-05 t=12980
dou hao 	都好	c=1 d=1.62893e-05 t=12980
dou hui 	都會	c=2 d=0.0221359 t=12980
dou ke yi 	都可以	c=2 d=0.571327 t=12980
dou qiao 	陡峭	c=1 d=1.19206e-08 t=12980
dou que ren 	都確認	c=1 d=4.99244e-05 t=12980
dou shi 	都是	c=17 d=1.38488 t=12980
dou shi zhe yang 	都是這樣	c=1 d=0.465334 t=12980
dou wo 	逗我	c=1 d=0.00522135 t=12980
dou xing 	都行	c=4 d=0.154124 t=12980
dou xu yao 	都需要	c=3 d=0.347901 t=12980
dou yao 	都要	c=1 d=5.82947e-05 t=12980
dou yin 	抖音	c=1 d=0.000302025 t=12980
dou you 	都有	c=1 d=4.31857e-05 t=12980
dou zuo hao le 	都做好了	c=1 d=0.790571 t=12980
du li 	獨立	c=7 d=1.56437e-08 t=12980
du li wen jian xi tong 	獨立文件系統	c=1 d=1.42715e-08 t=12980
du qu 	讀取	c=1 d=0.115325 t=12980
du wan 	讀完	c=1 d=0.114178 t=12980
du xiang 	都想	c=2 d=0.00749108 t=12980
du xie 	讀寫	c=1 d=6.49382e-10 t=12980
duan 	斷	c=1 d=0.677057 t=12980
duan 	段	c=7 d=0.701173 t=12980
duan 	端	c=0 d=1.13173e-08 t=12980
duan dian 	斷電	c=2 d=1.10455e-12 t=12980
duan dian le ba 	斷電樂吧	c=1 d=1.25685e-13 t=12980
duan guo 	斷過	c=1 d=3.03642e-08 t=12980
duan kai 	斷開	c=0 d=0.0574072 t=12980
duan kai lian jie 	斷開連接	c=1 d=0.57695 t=12980
duan kou 	端口	c=13 d=0.179072 t=12980
duan wang 	斷網	c=2 d=2.38856e-08 t=12980
dui 	對	c=32 d=1.62143 t=12980
dui 	懟	c=1 d=0.647265 t=12980
dui ba 	對吧	c=7 d=0.427406 t=12980
dui bi 	對比	c=2 d=0.00486924 t=12980
dui bu shang 	對不上	c=1 d=0.00118858 t=12980
dui duan 	對端	c=1 d=2.35298e-08 t=12980
dui fu 	對付	c=0 d=0.00409665 t=12980
dui fu yong 	對付用	c=1 d=0.0411719 t=12980
dui jie 	對接	c=10 d=0.253565 t=12980
dui jie kao le si du kong jian shi da fu 	對接考了四度空間士大夫	c=1 d=1 t=12979
dui le 	對了	c=1 d=5.17291e-11 t=12980
dui ni 	對你	c=2 d=0.268031 t=12980
dui qi 	對其	c=1 d=0.00369786 t=12980
dui wo 	對我	c=1 d=0.139457 t=12980
dui xiang 	對象	c=18 d=0.0310694 t=12980
dui ying 	對應	c=4 d=0.0122858 t=12980
dui yu 	對於	c=3 d=0.00887365 t=12980
dun 	噸	c=1 d=3.30524e-06 t=12980
duo 	多	c=10 d=0.0256972 t=12980
duo da 	多大	c=1 d=0.15259 t=12980
duo ge 	多個	c=7 d=2.79734e-05 t=12980
duo gei 	多給	c=0 d=1.08964e-11 t=12980
duo gei ta 	多給他	c=1 d=1.09511e-10 t=12980
duo hao 	多好	c=1 d=0.217621 t=12980
duo ji fang 	多機房	c=1 d=0.0281559 t=12980
duo jiu 	多久	c=1 d=7.97133e-10 t=12980
duo le 	多了	c=2 d=0.0880321 t=12980
duo shao 	多少	c=2 d=1.48356e-05 t=12980
duo shao qian 	多少錢	c=2 d=0.587743 t=12980
duo shou 	舵手	c=1 d=3.49213e-06 t=12980
duo tiao 	多條	c=2 d=0.29671 t=12980
duo wei 	多維	c=1 d=0.0664969 t=12980
duo wei shu zu 	多維數組	c=1 d=0.060205 t=12980
duo yun 	多雲	c=3 d=0.0403323 t=12980
duo zhong 	多種	c=1 d=7.13856e-06 t=12980
e 	額	c=2 d=8.94301e-13 t=12980
e lie 	惡劣	c=1 d=0.000139842 t=12980
e o 	哦哦	c=0 d=0.008291 t=12980
e o dou 	哦哦都	c=1 d=0.0833256 t=12980
e sha xing 	惡煞星	c=1 d=0.941765 t=12980
e si wo le 	餓死我了	c=1 d=0.000335463 t=12980
e xin 	噁心	c=3 d=0.00923273 t=12980
e xin si wo le 	噁心死我了	c=1 d=2.65893e-05 t=12980
en 	嗯	c=11 d=0.900325 t=12980
en 	恩	c=1 d=0.133989 t=12980
en en 	嗯嗯	c=7 d=0.144493 t=12980
en la se 	嗯垃圾	c=1 d=0.97531 t=12980
en na 	恩納	c=0 d=5.80039e-06 t=12980
en zhu 	摁住	c=1 d=1.87889e-08 t=12980
er 	二	c=1 d=0.634448 t=12980
er 	兒	c=1 d=0.548812 t=12980
er 	而	c=3 d=9.71375e-05 t=12980
er 	耳	c=1 d=0.951229 t=12980
er bu 	而不	c=0 d=1.97489e-07 t=12980
er bu dou hui inboard 	而不都會Inboard	c=1 d=1.98478e-06 t=12980
er bu shi 	而不是	c=1 d=1.66212e-07 t=12980
er ceng 	二層	c=1 d=0.0490458 t=12980
er jin zhi 	二進制	c=4 d=1.37266 t=12980
er lou 	二樓	c=1 d=0.0184997 t=12980
er qie 	而且	c=5 d=0.83527 t=12980
er qu 	二區	c=11 d=0.131235 t=12980
er qu cun chu 	二區存儲	c=1 d=9.3062e-08 t=12980
er xian 	二線	c=1 d=6.59308e-12 t=12980
er yan 	而言	c=1 d=0.00509243 t=12980
fa 	發	c=11 d=0.0277367 t=12980
fa bu 	發佈	c=2 d=9.83454e-06 t=12980
fa dao 	發到	c=1 d=0.000596161 t=12980
fa gei 	發給	c=0 d=4.50569e-05 t=12980
fa gei ni 	發給你	c=1 d=1.60966e-12 t=12980
fa gei nin 	發給您	c=1 d=1.10363e-13 t=12980
fa gei wo 	發給我	c=2 d=0.00603608 t=12980
fa gei wo le 	發給我了	c=1 d=0.000452827 t=12980
fa gong zi 	發工資	c=1 d=0.677057 t=12980
fa guo qu 	發過去	c=1 d=3.08924e-05 t=12980
fa lai 	發來	c=1 d=7.37625e-09 t=12980
fa lai zhe 	發來着	c=1 d=2.96196e-10 t=12980
fa li 	乏力	c=1 d=0.436049 t=12980
fa qi 	發起	c=2 d=0.000555868 t=12980
fa qi ren 	發起人	c=1 d=0.00416933 t=12980
fa re 	發熱	c=1 d=0.427415 t=12980
fa song 	發送	c=1 d=2.96811e-05 t=12980
fa xian 	發現	c=9 d=0.075774 t=12980
fa zhan 	發展	c=1 d=2.01965e-05 t=12980
fan 	翻	c=1 d=0.0485578 t=12980
fan 	飯	c=1 d=0.000332125 t=12980
fan hong 	泛洪	c=1 d=5.6445e-08 t=12980
fan hui 	返回	c=1 d=0.535261 t=12980
fan hui zhi 	返回值	c=1 d=0.179964 t=12980
fan li 	範例	c=1 d=1.09738e-05 t=12980
fan qiang 	翻牆	c=1 d=0.0808629 t=12980
fan wei 	範圍	c=1 d=7.63639e-05 t=12980
fan ying 	反映	c=1 d=0.00878245 t=12980
fan zheng 	反正	c=3 d=0.149327 t=12980
fang 	放	c=3 d=0.0363487 t=12980
fang an 	方案	c=14 d=1.02004 t=12980
fang bian 	方便	c=13 d=0.718924 t=12980
fang bing du 	防病毒	c=1 d=0.786628 t=12980
fang fa 	方法	c=3 d=0.25284 t=12980
fang guo 	放過	c=1 d=3.90761e-05 t=12980
fang huo qiang 	防火牆	c=4 d=0.782963 t=12980
fang jia 	放假	c=2 d=1.28317e-13 t=12980
fang mian 	方面	c=1 d=3.47707e-14 t=12980
fang qi 	放棄	c=2 d=0.149569 t=12980
fang shi 	方式	c=21 d=0.659587 t=12980
fang wen 	訪問	c=18 d=0.11662 t=12980
fang xiang 	方向	c=2 d=2.02978e-05 t=12980
fang yi fang 	放一放	c=1 d=0.000285862 t=12980
fang zai 	放在	c=2 d=3.55784e-11 t=12980
fang zhi 	防止	c=1 d=6.55908e-10 t=12980
fei 	非	c=4 d=0.354855 t=12980
fei chang gan xie 	非常感謝	c=1 d=5.95027e-11 t=12980
fei jin 	費勁	c=3 d=0.740818 t=12980
fei le 	廢了	c=1 d=0.000319102 t=12980
fei mao tui 	飛毛腿	c=1 d=0.923116 t=12980
fei shuo 	非說	c=1 d=2.37622e-06 t=12980
fei yao 	非要	c=1 d=6.79156e-08 t=12980
fen 	份	c=1 d=2.59329e-05 t=12980
fen 	分	c=2 d=0.00218749 t=12980
fen bie 	分別	c=1 d=0.0724398 t=12980
fen bu shi 	分佈式	c=13 d=0.131579 t=12980
fen jie 	分解	c=2 d=0.341298 t=12980
fen kai 	分開	c=0 d=0.0814647 t=12980
fen kai zuo de 	分開做的	c=1 d=0.818731 t=12980
fen pei 	分配	c=2 d=7.92887e-06 t=12980
fen qu 	分區	c=10 d=2.18975 t=12980
fen si 	粉絲	c=1 d=2.9043e-14 t=12980
fen xi 	分析	c=2 d=0.628141 t=12980
fen xiang 	分享	c=3 d=0.0013383 t=12980
fen zhong 	分鐘	c=1 d=2.69398e-12 t=12980
feng 	封	c=1 d=1.73084e-13 t=12980
feng 	風	c=1 d=6.31499e-05 t=12980
feng 	馮	c=1 d=1.31403e-07 t=12980
feng xian 	風險	c=2 d=0.0383884 t=12980
feng zong 	馮總	c=2 d=0.000159368 t=12980
fou 	否	c=3 d=1.1707 t=12980
fou 	罘	c=1 d=0.546074 t=12980
fu 	服	c=1 d=0.302704 t=12980
fu ben 	副本	c=1 d=5.87385e-06 t=12980
fu dong 	浮動	c=4 d=0.834412 t=12980
fu gai 	覆蓋	c=3 d=0.522088 t=12980
fu gong 	復工	c=3 d=1.46873 t=12980
fu hao 	符號	c=1 d=0.0561348 t=12980
fu he 	符合	c=1 d=4.09944e-10 t=12980
fu jian 	附件	c=1 d=0.970446 t=12980
fu jing li 	副經理	c=1 d=0.0114473 t=12980
fu ke di guo 	富可敵國	c=1 d=0.141564 t=12980
fu le 	服了	c=2 d=2.24948e-08 t=12980
fu wu 	服務	c=13 d=0.000857335 t=12980
fu wu dou 	服務都	c=1 d=9.97928e-06 t=12980
fu wu hua 	服務化	c=1 d=0.0342181 t=12980
fu wu qi 	服務器	c=56 d=0.797464 t=12980
fu xian 	復現	c=1 d=1.74313e-08 t=12980
fu za 	複雜	c=2 d=0.496585 t=12980
fu zai 	負載	c=7 d=0.603298 t=12980
fu zai jun heng 	負載均衡	c=5 d=0.00151098 t=12980
fu ze 	負責	c=3 d=0.00848038 t=12980
fu ze ren 	負責人	c=2 d=7.70313e-08 t=12980
fu zhi 	複製	c=5 d=0.0629761 t=12980
fu zhi 	賦值	c=2 d=0.339186 t=12980
fu zong 	副總	c=2 d=0.339537 t=12980
gai 	丐	c=1 d=0.00194013 t=12980
gai 	改	c=16 d=2.16668 t=12980
gai 	該	c=9 d=0.00397247 t=12980
gai cheng 	改成	c=7 d=0.268474 t=12980
gai gai 	改改	c=1 d=7.30037e-05 t=12980
gai guo 	改過	c=4 d=0.817585 t=12980
gai hao le 	改好了	c=5 d=0.0024572 t=12980
gai hui 	改回	c=2 d=0.0165727 t=12980
gai hui lai 	改回來	c=1 d=1.30747e-07 t=12980
gai le 	改了	c=3 d=1.0921e-07 t=12980
gai lv 	概率	c=1 d=0.0485578 t=12980
gai nian 	概念	c=4 d=7.11238e-05 t=12980
gai pei zhi 	改配置	c=1 d=2.83114e-08 t=12980
gai sha 	改啥	c=2 d=8.05104e-08 t=12980
gai wan 	改完	c=2 d=0.142987 t=12980
gai wan le 	改完了	c=2 d=0.000978001 t=12980
gai xia 	改下	c=2 d=0.00511796 t=12980
gai zao 	改造	c=3 d=9.54283e-06 t=12980
gan 	幹	c=5 d=0.458406 t=12980
gan bu le 	幹不了	c=3 d=0.686026 t=12980
gan de 	趕得	c=1 d=1.95085e-09 t=12980
gan en 	感恩	c=2 d=0.238115 t=12980
gan ga 	尷尬	c=1 d=0.32628 t=12980
gan huo 	乾貨	c=1 d=0.0359725 t=12980
gan huo 	幹活	c=3 d=0.362402 t=12980
gan jue 	感覺	c=13 d=0.909413 t=12980
gan ni 	幹你	c=1 d=1.06825e-12 t=12980
gan sha 	幹啥	c=6 d=0.0153485 t=12980
gan shuo 	敢說	c=1 d=0.0672055 t=12980
gan tang 	趕趟	c=1 d=0.937067 t=12980
gan xie 	感謝	c=4 d=4.84577e-07 t=12980
gan yi 	幹一	c=1 d=0.00532682 t=12980
gan you xi 	肝遊戲	c=1 d=0.425283 t=12980
gan yu 	干預	c=2 d=1.02391e-09 t=12980
gan zhe ge 	甘蔗哥	c=1 d=1.02371e-11 t=12980
gan zhi 	感知	c=0 d=8.67852e-11 t=12980
gang 	剛	c=3 d=0.410656 t=12980
gang cai 	剛纔	c=11 d=0.196131 t=12980
gang jie chu 	剛接觸	c=1 d=0.000256085 t=12980
gang kai shi 	剛開始	c=1 d=8.65611e-09 t=12980
gao 	搞	c=8 d=0.753823 t=12980
gao bu dong 	搞不懂	c=1 d=9.05454e-09 t=12980
gao bu guo 	搞不過	c=1 d=0.00209124 t=12980
gao bu lai 	搞不来	c=1 d=8.69654e-05 t=12980
gao cuo le 	搞错了	c=1 d=0.000523486 t=12980
gao dian 	高點	c=1 d=0.0243554 t=12980
gao ding le 	搞定了	c=2 d=1.26555e-06 t=12980
gao duan 	高端	c=6 d=2.05971 t=12980
gao hao 	搞好	c=3 d=0.0186866 t=12980
gao ji 	高級	c=1 d=1.33366e-05 t=12980
gao jie 	高階	c=1 d=0.0587185 t=12980
gao jing 	告警	c=11 d=0.689385 t=12980
gao ke 	高科	c=0 d=1.39552e-10 t=12980
gao ke yong 	高科用	c=1 d=1.40251e-09 t=12980
gao su 	告訴	c=7 d=0.56836 t=12980
gao su 	高速	c=1 d=0.0239928 t=12980
gao su ni 	告诉你	c=1 d=0.219808 t=12980
gao wan le 	搞完了	c=1 d=3.90827e-07 t=12980
ge 	個	c=33 d=1.51136 t=12980
ge 	各	c=5 d=0.000959468 t=12980
ge 	哥	c=14 d=0.20089 t=12980
ge 	隔	c=1 d=1.6453e-05 t=12980
ge ci 	歌詞	c=1 d=0.183599 t=12980
ge ding 	戈丁	c=1 d=8.06816e-05 t=12980
ge ge 	各個	c=2 d=6.44475e-09 t=12980
ge li 	隔離	c=5 d=1.5236e-05 t=12980
ge ren 	個人	c=4 d=0.0160184 t=12980
ge shi 	格式	c=1 d=0.240508 t=12980
ge zhi 	擱置	c=1 d=0.0401553 t=12980
gei 	給	c=34 d=0.516851 t=12980
gei dao 	給到	c=1 d=1.50446e-11 t=12980
gei ding 	給定	c=6 d=0.00636486 t=12980
gei guo ni 	給過你	c=2 d=0.090718 t=12980
gei huo 	給活	c=1 d=0.0110536 t=12980
gei ni 	給你	c=16 d=1.68888 t=12980
gei nin 	給您	c=2 d=0.000237742 t=12980
gei nin pei zhi 	給您配置	c=1 d=3.20146e-13 t=12980
gei qian 	給錢	c=1 d=0.565525 t=12980
gei ta kan 	給他看	c=1 d=2.65297e-08 t=12980
gei ta men 	給他們	c=2 d=0.105399 t=12980
gei wo 	給我	c=14 d=1.46488 t=12980
gei wo men 	給我們	c=1 d=6.12939e-07 t=12980
gen 	根	c=11 d=0.62522 t=12980
gen 	跟	c=39 d=1.49542 t=12980
gen an quan 	跟安全	c=1 d=0.927743 t=12980
gen bao ge 	跟寶哥	c=1 d=0.729789 t=12980
gen ju 	根據	c=9 d=0.305765 t=12980
gen na 	跟那	c=1 d=0.00251621 t=12980
gen ni 	跟你	c=2 d=0.0902664 t=12980
gen ni jiang 	跟你講	c=1 d=0.0349094 t=12980
gen ni shuo 	跟你說	c=1 d=0.0104621 t=12980
gen nin 	跟您	c=1 d=0.00172074 t=12980
gen shei 	跟誰	c=1 d=0.00134683 t=12980
gen ta 	跟他	c=4 d=0.310367 t=12980
gen wo 	跟我	c=1 d=0.644036 t=12980
gen wo men 	跟我們	c=1 d=2.81702e-08 t=12980
gen zhe 	跟着	c=0 d=4.4724e-06 t=12980
gen zhe ge 	跟這個	c=1 d=0.537944 t=12980
gen zhe jin 	跟着進	c=1 d=4.49482e-05 t=12980
geng 	更	c=1 d=0.0072265 t=12980
geng da 	更大	c=1 d=2.24363e-07 t=12980
geng duo 	更多	c=1 d=3.05113e-06 t=12980
geng gai 	更改	c=3 d=0.00389407 t=12980
geng gao 	更高	c=0 d=2.49203e-08 t=12980
geng gao ji 	更高級	c=1 d=1.43753e-05 t=12980
geng gao ji bie 	更高級別	c=2 d=1.28104e-05 t=12980
geng jia 	更加	c=1 d=1.97012e-07 t=12980
geng xin 	更新	c=11 d=0.0162542 t=12980
github 	GitHub	c=1 d=0.126186 t=12980
gmail 	Gmail	c=1 d=2.7765e-14 t=12980
gong 	共	c=0 d=0.0802519 t=12980
gong cheng shi 	工程師	c=12 d=0.29523 t=12980
gong da 	工大	c=19 d=3.44767 t=12980
gong fang 	公房	c=2 d=0.293758 t=12980
gong geng 	躬耕	c=0 d=1.33366e-06 t=12980
gong geng ni 	躬耕你	c=1 d=1.34034e-05 t=12980
gong ji 	攻擊	c=2 d=7.75481e-13 t=12980
gong ju 	工具	c=1 d=0.156453 t=12980
gong ju ren 	共巨人	c=1 d=0.806541 t=12980
gong ju ren 	工具人	c=1 d=0.810584 t=12980
gong neng 	功能	c=13 d=0.631933 t=12980
gong shi 	工時	c=1 d=1.04187e-12 t=12980
gong si 	公司	c=23 d=3.49141 t=12980
gong tong 	共同	c=1 d=0.522046 t=12980
gong xiang 	共享	c=5 d=0.092089 t=12980
gong xiang cun chu 	共享存儲	c=1 d=0.00137404 t=12980
gong xiang shu ju zhong xin 	共享數據中心	c=1 d=2.88137e-09 t=12980
gong you 	公有	c=1 d=0.0302704 t=12980
gong you yun 	公有雲	c=4 d=0.627253 t=12980
gong zi 	工資	c=2 d=8.13426e-13 t=12980
gong zong 	工總	c=1 d=9.12037e-06 t=12980
gong zuo 	工作	c=11 d=0.0290734 t=12980
gong zuo liang 	工作量	c=1 d=1.32129e-13 t=12980
gong zuo liu 	工作流	c=1 d=1.34057e-07 t=12980
gong zuo nei rong 	工作內容	c=1 d=1.60163e-12 t=12980
gou 	勾	c=1 d=4.78675e-10 t=12980
gou jian 	構建	c=8 d=7.27404e-05 t=12980
gou jian hao 	構建好	c=1 d=6.99839e-08 t=12980
gou jian jing xiang 	構建鏡像	c=1 d=0.000319102 t=12980
gou mai 	購買	c=1 d=2.66672e-10 t=12980
gou shi 	狗屎	c=1 d=2.63248e-05 t=12980
gou tou 	狗頭	c=1 d=0.000315927 t=12980
gou xuan 	勾選	c=1 d=2.16828e-08 t=12980
gou xuan lian jie 	勾選連接	c=1 d=9.25978e-08 t=12980
gou yong 	夠用	c=4 d=0.931793 t=12980
gu ding le 	固定了	c=1 d=0.000335463 t=12980
gu fen 	股份	c=1 d=9.12658e-14 t=12980
gu ji 	估計	c=5 d=0.000113047 t=12980
gu lao 	古老	c=1 d=0.000268934 t=12980
gu shi 	故事	c=1 d=0.71177 t=12980
gu zhang 	故障	c=13 d=0.0146991 t=12980
gu zhang qu yu 	故障區域	c=1 d=0.0224829 t=12980
gua de 	掛的	c=1 d=0.839457 t=12980
gua zai 	掛載	c=7 d=1.43748 t=12980
guan 	關	c=3 d=0.00101791 t=12980
guan bi 	關閉	c=3 d=4.98544e-12 t=12980
guan cha 	觀察	c=1 d=3.58236e-12 t=12980
guan diao 	關掉	c=1 d=0.000720907 t=12980
guan fang qun 	官方羣	c=1 d=0.0483156 t=12980
guan ji 	關機	c=6 d=4.77941e-06 t=12980
guan jian 	關鍵	c=1 d=4.85992e-12 t=12980
guan li 	慣例	c=6 d=0.000337734 t=12980
guan li 	管理	c=14 d=0.959172 t=12980
guan li duan 	管理端	c=3 d=1.85396e-07 t=12980
guan li ping tai 	管理平臺	c=1 d=3.04532e-13 t=12980
guan li yuan 	管理員	c=1 d=0.00980366 t=12980
guan lian 	關聯	c=1 d=0.00421123 t=12980
guan ta 	管他	c=1 d=6.57382e-07 t=12980
guan wang 	官網	c=1 d=5.99659e-14 t=12980
guan wang 	觀望	c=1 d=1.07583e-07 t=12980
guan xi 	關係	c=7 d=1.36664 t=12980
guan yu 	關於	c=1 d=0.286505 t=12980
guang 	廣	c=1 d=0.66034 t=12980
guang biao 	光標	c=1 d=3.0291e-09 t=12980
guang bo 	廣播	c=2 d=1.08465e-07 t=12980
guang kou 	光口	c=1 d=7.56298e-09 t=12980
guang pan 	光盤	c=0 d=7.65746e-09 t=12980
guang xian 	光纖	c=1 d=0.0278757 t=12980
guang zhou 	廣州	c=1 d=0.180866 t=12980
gui 	貴	c=1 d=3.78297e-06 t=12980
gui dang 	歸檔	c=8 d=2.2549 t=12980
gui de 	貴的	c=0 d=3.72665e-07 t=12980
gui de hao 	貴的好	c=1 d=3.74533e-06 t=12980
gui ding 	規定	c=1 d=0.000340532 t=12980
gui fan 	規範	c=5 d=0.0236356 t=12980
gui gong si 	貴公司	c=1 d=2.16197e-12 t=12980
gui hua 	規劃	c=1 d=0.0031354 t=12980
gui zi li 	櫃子裏	c=1 d=6.8942e-08 t=12980
gun dong 	滾動	c=1 d=6.58972e-06 t=12980
guo 	過	c=8 d=1.37175 t=12980
guo 	郭	c=7 d=0.555081 t=12980
guo 	鍋	c=3 d=5.88706e-07 t=12980
guo cheng 	過程	c=2 d=0.00293808 t=12980
guo duo 	過多	c=1 d=1.01335e-09 t=12980
guo gao 	過高	c=1 d=4.87167e-11 t=12980
guo ji 	國際	c=1 d=8.10998e-07 t=12980
guo ji tian 	過幾天	c=2 d=0.00960953 t=12980
guo lao shi 	郭老師	c=4 d=1.74809e-06 t=12980
guo le 	過了	c=0 d=1.13941e-07 t=12980
guo nei 	國內	c=4 d=0.860708 t=12980
guo qi 	過期	c=3 d=0.0051953 t=12980
guo qu 	過去	c=1 d=0.000155324 t=12980
ha 	哈	c=24 d=1.14533 t=12980
ha er bin 	哈爾濱	c=4 d=0.905226 t=12980
ha gong da 	哈工大	c=4 d=0.0339876 t=12980
ha ha 	哈哈	c=1 d=2.83847e-09 t=12980
ha ha ha 	哈哈哈	c=6 d=0.76599 t=12980
ha li 	哈利	c=1 d=5.2249e-11 t=12980
ha lou 	哈嘍	c=2 d=0.000480828 t=12980
ha nan 	哈南	c=4 d=0.263158 t=12980
hai 	還	c=26 d=1.04817 t=12980
hai bu gou 	還不夠	c=0 d=0.0918512 t=12980
hai bu que ding 	還不確定	c=1 d=0.0466538 t=12980
hai bu tai que ding 	還不太確定	c=1 d=0.0492917 t=12980
hai de 	還得	c=3 d=0.419056 t=12980
hai hao 	還好	c=1 d=0.0480747 t=12980
hai ke yi 	還可以	c=1 d=0.0550232 t=12980
hai mei 	還沒	c=1 d=3.22127e-13 t=12980
hai mei gei wo 	還沒給我	c=1 d=4.02661e-05 t=12980
hai mei guo 	還沒過	c=1 d=6.62726e-14 t=12980
hai mei hui 	還沒回	c=0 d=4.37252e-05 t=12980
hai mei hui wo 	還沒回我	c=1 d=0.000439444 t=12980
hai mei kai xue 	還沒開學	c=1 d=6.43139e-14 t=12980
hai neng 	還能	c=1 d=0.000662162 t=12980
hai quan 	海蜷	c=0 d=2.76745e-06 t=12980
